geoid,LATITUDE,LONGITUDE,Y,X
060014011001,37.834520999999754,-122.261382,4187712.014250503,564994.5849972608
060014011002,37.82910999999975,-122.26250699999999,4187110.875077155,564900.3293712451
060014011003,37.82530399999976,-122.26422499999998,4186687.4029777846,564752.4669713887
060014011004,37.83260099999975,-122.26488,4187496.5595910903,564688.4512998385
060014012001,37.83420699999974,-122.257122,4187680.1484256694,565369.725409066
060014012002,37.82965199999975,-122.25793999999999,4187174.193402301,565301.75913438
060014012003,37.82681999999977,-122.259879,4186858.626034939,565133.6129338611
060014013001,37.820679999999754,-122.26657200000001,4186172.7413626323,564549.9419519505
060014013002,37.814650999999735,-122.269615,4185501.7204642943,564287.3486936918
060014013003,37.81494599999975,-122.266711,4185536.4528076146,564542.7008946174
060014014001,37.82382599999975,-122.272891,4186517.446240696,563991.0746653294
060014014002,37.821360999999754,-122.27374999999999,4186243.3641124875,563917.6011097665
060014014003,37.815468999999766,-122.273119,4185590.0733688553,563978.2219428625
060014015001,37.82537699999977,-122.280503,4186684.3446908654,563319.8271230338
060014015002,37.822666999999754,-122.280421,4186383.723214851,563329.3595235607
060014015003,37.82080699999976,-122.28049,4186177.307770869,563324.8760635026
060014016001,37.81750299999975,-122.27959199999998,4185811.3351471866,563406.7374716696
060014016002,37.815623999999765,-122.27965699999999,4185602.8144696276,563402.6235576905
060014017001,37.824398999999765,-122.28628599999999,4186571.9308436695,562811.7125781802
